Feature,Importance
away_last_5_goal_difference,0.12999590067265013
home_last_5_goal_difference,0.12814022612158193
home_last_5_points,0.12678128777151965
away_last_5_avg_goals_against,0.1254128975527075
home_last_5_avg_goals_for,0.12377085832573531
away_last_5_points,0.12340879557807537
away_last_5_avg_goals_for,0.12186561553384224
home_last_5_avg_goals_against,0.12062441844388794
