Feature,Coefficient,Absolute Coefficient
away_last_5_avg_goals_for,0.09665015016779087,0.09665015016779087
home_last_5_avg_goals_against,-0.08833967785346332,0.08833967785346332
away_last_5_avg_goals_against,-0.054453846624034144,0.054453846624034144
home_last_5_goal_difference,-0.04716043137426058,0.04716043137426058
home_last_5_points,-0.03808046362781356,0.03808046362781356
home_last_5_avg_goals_for,-0.032969383504831216,0.032969383504831216
away_last_5_goal_difference,0.0312764658744873,0.0312764658744873
away_last_5_points,-0.0008897097121206023,0.0008897097121206023
